Level,Region,Division,School_ID ,Province,Modified_ClassOrg_BasedonEnrollment,IndexScore
ES,Region II,Isabela,103739,ISABELA,Monograde,0.1
ES,Region II,Isabela,103741,ISABELA,Monograde,0.12
ES,Region II,Isabela,103742,ISABELA,Monograde,0.1
ES,Region II,Isabela,103743,ISABELA,Monograde,0.09
ES,Region X,Iligan City,103744,LANAO DEL NORTE,Monograde,0.36
ES,Region II,Isabela,103745,ISABELA,Monograde,0.2
ES,Region II,Isabela,103746,ISABELA,Monograde,0.18
ES,Region II,Isabela,103747,ISABELA,Combined Monograde and Multigrade,0.18
ES,Region II,Isabela,103748,ISABELA,Monograde,0.12
ES,Region II,Isabela,103749,ISABELA,Monograde,0.17
ES,Region II,Isabela,103750,ISABELA,Monograde,0.18
ES,Region II,Isabela,103751,ISABELA,Monograde,0.12
ES,Region X,Iligan City,103752,LANAO DEL NORTE,Combined Monograde and Multigrade,0.39
ES,Region II,Isabela,103753,ISABELA,Monograde,0.2
ES,Region II,Isabela,103754,ISABELA,Monograde,0.21
ES,Region II,Isabela,103755,ISABELA,Monograde,0.12
ES,Region II,Isabela,103756,ISABELA,Combined Monograde and Multigrade,0.16
ES,Region II,Isabela,103757,ISABELA,Combined Monograde and Multigrade,0.21
ES,Region II,Isabela,103758,ISABELA,Monograde,0.16
ES,Region II,Isabela,103759,ISABELA,Monograde,0.14
ES,Region II,Isabela,103762,ISABELA,Combined Monograde and Multigrade,0.21
ES,Region II,Isabela,103766,ISABELA,Combined Monograde and Multigrade,0.32
ES,Region II,Isabela,103768,ISABELA,Monograde,0.12
ES,Region II,Isabela,103769,ISABELA,Monograde,0.11
ES,Region II,Isabela,103770,ISABELA,Monograde,0.15
ES,Region II,Isabela,103771,ISABELA,Monograde,0.09
ES,Region II,Isabela,103772,ISABELA,Monograde,0.08
ES,Region II,Isabela,103773,ISABELA,Monograde,0.12
ES,Region II,Isabela,103774,ISABELA,Monograde,0.11
ES,Region II,Isabela,103775,ISABELA,Monograde,0.12
ES,Region II,Isabela,103776,ISABELA,Monograde,0.14
ES,Region II,Isabela,103777,ISABELA,Monograde,0.12
ES,Region II,Isabela,103778,ISABELA,Monograde,0.14
ES,Region II,Isabela,103779,ISABELA,Monograde,0.07
ES,Region II,Isabela,103780,ISABELA,Monograde,0.11
ES,Region II,Isabela,103781,ISABELA,Monograde,0.13
ES,Region II,Isabela,103782,ISABELA,Monograde,0.12
ES,Region II,Isabela,103783,ISABELA,Monograde,0.11
ES,Region II,Isabela,103784,ISABELA,Monograde,0.11
